year,month,day,hour,min,sec,sst
2003,1,1,0,0,0,19.28032796
2003,1,2,0,0,0,22.6582852
2003,1,3,0,0,0,21.51347858
2003,1,4,0,0,0,22.11863285
2003,1,5,0,0,0,21.59565797
2003,1,6,0,0,0,19.97936507
2003,1,7,0,0,0,19.68110637
2003,1,8,0,0,0,19.56469428
2003,1,9,0,0,0,20.01035344
2003,1,10,0,0,0,19.69536065
2003,1,11,0,0,0,19.7060739
2003,1,12,0,0,0,19.60116365
2003,1,13,0,0,0,20.13140142
2003,1,14,0,0,0,19.71403759
2003,1,15,0,0,0,19.92440441
2003,1,16,0,0,0,20.19729921
2003,1,17,0,0,0,19.77329989
2003,1,18,0,0,0,20.41692538
2003,1,19,0,0,0,19.87831647
2003,1,20,0,0,0,19.90947532
2003,1,21,0,0,0,20.62137815
2003,1,22,0,0,0,20.81214798
2003,1,23,0,0,0,21.60280423
2003,1,24,0,0,0,21.32647501
2003,1,25,0,0,0,21.37053854
2003,1,26,0,0,0,20.48866519
2003,1,27,0,0,0,20.64170621
2003,1,28,0,0,0,20.45530362
2003,1,29,0,0,0,19.97458869
2003,1,30,0,0,0,20.03420909
2003,1,31,0,0,0,19.72481834
2003,2,1,0,0,0,19.86423958
2003,2,2,0,0,0,19.53900666
2003,2,3,0,0,0,20.01434849
2003,2,4,0,0,0,19.94789345
2003,2,5,0,0,0,19.0649746
2003,2,6,0,0,0,19.39635931
2003,2,7,0,0,0,19.12999965
2003,2,8,0,0,0,19.05466216
2003,2,9,0,0,0,18.93515644
2003,2,10,0,0,0,19.32367203
2003,2,11,0,0,0,19.0209954
2003,2,12,0,0,0,18.908822
2003,2,13,0,0,0,18.93734288
2003,2,14,0,0,0,19.22929383
2003,2,15,0,0,0,19.27421143
2003,2,16,0,0,0,19.41084531
2003,2,17,0,0,0,19.39348683
2003,2,18,0,0,0,18.69362199
2003,2,19,0,0,0,18.65278772
2003,2,20,0,0,0,18.7802031
2003,2,21,0,0,0,18.46237938
2003,2,22,0,0,0,18.83502209
2003,2,23,0,0,0,19.11529083
2003,2,24,0,0,0,19.1044179
2003,2,25,0,0,0,17.58453761
2003,2,26,0,0,0,17.07818172
2003,2,27,0,0,0,18.84302366
2003,2,28,0,0,0,19.08297802
2003,3,1,0,0,0,19.05649624
2003,3,2,0,0,0,19.43206167
2003,3,3,0,0,0,19.52404838
2003,3,4,0,0,0,18.98819151
2003,3,5,0,0,0,19.08751953
2003,3,6,0,0,0,19.29338879
2003,3,7,0,0,0,19.23634071
2003,3,8,0,0,0,19.03408164
2003,3,9,0,0,0,19.05203597
2003,3,10,0,0,0,18.87824647
2003,3,11,0,0,0,19.73788907
2003,3,12,0,0,0,19.28692751
2003,3,13,0,0,0,19.45873264
2003,3,14,0,0,0,19.10082995
2003,3,15,0,0,0,19.3171751
2003,3,16,0,0,0,19.22563588
2003,3,17,0,0,0,19.29146148
2003,3,18,0,0,0,19.35435893
2003,3,19,0,0,0,19.34111114
2003,3,20,0,0,0,19.69011347
2003,3,21,0,0,0,19.60897817
2003,3,22,0,0,0,18.79772649
2003,3,23,0,0,0,18.53917264
2003,3,24,0,0,0,18.96116498
2003,3,25,0,0,0,19.7584536
2003,3,26,0,0,0,19.61153061
2003,3,27,0,0,0,19.97838483
2003,3,28,0,0,0,20.68787387
2003,3,29,0,0,0,19.98205179
2003,3,30,0,0,0,19.16307417
2003,3,31,0,0,0,20.01243603
2003,4,1,0,0,0,19.86018512
2003,4,2,0,0,0,20.51461132
2003,4,3,0,0,0,20.31953368
2003,4,4,0,0,0,20.5627115
2003,4,5,0,0,0,20.63943681
2003,4,6,0,0,0,22.53763405
2003,4,7,0,0,0,22.60744527
2003,4,8,0,0,0,22.75518338
2003,4,9,0,0,0,22.14110217
2003,4,10,0,0,0,21.81508345
2003,4,11,0,0,0,21.91426105
2003,4,12,0,0,0,21.95687483
2003,4,13,0,0,0,20.66782456
2003,4,14,0,0,0,21.34588631
2003,4,15,0,0,0,20.70108174
2003,4,16,0,0,0,20.69237176
2003,4,17,0,0,0,19.97742017
2003,4,18,0,0,0,19.40350099
2003,4,19,0,0,0,19.47897058
2003,4,20,0,0,0,20.42973956
2003,4,21,0,0,0,20.10352661
2003,4,22,0,0,0,20.13734068
2003,4,23,0,0,0,20.49727133
2003,4,24,0,0,0,20.88657361
2003,4,25,0,0,0,20.93562936
2003,4,26,0,0,0,20.95587013
2003,4,27,0,0,0,22.32289334
2003,4,28,0,0,0,22.50069637
2003,4,29,0,0,0,22.55136862
2003,4,30,0,0,0,22.66049401
2003,5,1,0,0,0,22.42120215
2003,5,2,0,0,0,22.13098155
2003,5,3,0,0,0,21.71477151
2003,5,4,0,0,0,22.38330632
2003,5,5,0,0,0,21.58167481
2003,5,6,0,0,0,21.07083132
2003,5,7,0,0,0,21.25913875
2003,5,8,0,0,0,21.36964435
2003,5,9,0,0,0,21.66824094
2003,5,10,0,0,0,21.86039847
2003,5,11,0,0,0,22.7193232
2003,5,12,0,0,0,22.69470912
2003,5,13,0,0,0,22.81960812
2003,5,14,0,0,0,22.87128754
2003,5,15,0,0,0,22.90787656
2003,5,16,0,0,0,22.79374439
2003,5,17,0,0,0,22.64548191
2003,5,18,0,0,0,22.77090708
2003,5,19,0,0,0,22.69614538
2003,5,20,0,0,0,22.42099232
2003,5,21,0,0,0,22.27439728
2003,5,22,0,0,0,21.66444532
2003,5,23,0,0,0,21.56911383
2003,5,24,0,0,0,21.24226338
2003,5,25,0,0,0,21.55829761
2003,5,26,0,0,0,20.49679801
2003,5,27,0,0,0,20.59322116
2003,5,28,0,0,0,20.26088187
2003,5,29,0,0,0,20.16053565
2003,5,30,0,0,0,20.46663158
2003,5,31,0,0,0,20.4145776
2003,6,1,0,0,0,20.95446754
2003,6,2,0,0,0,20.97928339
2003,6,3,0,0,0,20.78539417
2003,6,4,0,0,0,20.33614214
2003,6,5,0,0,0,19.73689466
2003,6,6,0,0,0,20.20783864
2003,6,7,0,0,0,20.08120114
2003,6,8,0,0,0,21.15476662
2003,6,9,0,0,0,20.67547984
2003,6,10,0,0,0,20.92216594
2003,6,11,0,0,0,21.12582874
2003,6,12,0,0,0,20.37916718
2003,6,13,0,0,0,20.41213734
2003,6,14,0,0,0,19.90667792
2003,6,15,0,0,0,20.81967445
2003,6,16,0,0,0,19.36551368
2003,6,17,0,0,0,20.3099627
2003,6,18,0,0,0,19.30706335
2003,6,19,0,0,0,19.30230518
2003,6,20,0,0,0,18.39059566
2003,6,21,0,0,0,18.5713676
2003,6,22,0,0,0,18.90288625
2003,6,23,0,0,0,17.92263278
2003,6,24,0,0,0,17.27967862
2003,6,25,0,0,0,16.94067184
2003,6,26,0,0,0,16.7744799
2003,6,27,0,0,0,15.85962831
2003,6,28,0,0,0,16.61383923
2003,6,29,0,0,0,16.99008449
2003,6,30,0,0,0,17.05813647
2003,7,1,0,0,0,15.42828691
2003,7,2,0,0,0,15.21782911
2003,7,3,0,0,0,15.09335024
2003,7,4,0,0,0,15.66224129
2003,7,5,0,0,0,16.3760125
2003,7,6,0,0,0,18.40219535
2003,7,7,0,0,0,18.19586498
2003,7,8,0,0,0,18.46077293
2003,7,9,0,0,0,18.73476062
2003,7,10,0,0,0,18.672272
2003,7,11,0,0,0,18.15954321
2003,7,12,0,0,0,18.42427324
2003,7,13,0,0,0,18.99678252
2003,7,14,0,0,0,19.96160436
2003,7,15,0,0,0,18.4730692
2003,7,16,0,0,0,18.124549
2003,7,17,0,0,0,17.3953969
2003,7,18,0,0,0,18.45058535
2003,7,19,0,0,0,17.33885631
2003,7,20,0,0,0,19.33253839
2003,7,21,0,0,0,19.55679149
2003,7,22,0,0,0,18.6192309
2003,7,23,0,0,0,18.90308538
2003,7,24,0,0,0,19.50229515
2003,7,25,0,0,0,20.05977391
2003,7,26,0,0,0,20.07095883
2003,7,27,0,0,0,21.27114849
2003,7,28,0,0,0,22.57795885
2003,7,29,0,0,0,21.74953087
2003,7,30,0,0,0,22.20857927
2003,7,31,0,0,0,21.57165891
2003,8,1,0,0,0,19.43988706
2003,8,2,0,0,0,19.86046315
2003,8,3,0,0,0,21.14206831
2003,8,4,0,0,0,22.43970229
2003,8,5,0,0,0,21.48036482
2003,8,6,0,0,0,21.96352217
2003,8,7,0,0,0,22.02189145
2003,8,8,0,0,0,22.77441976
2003,8,9,0,0,0,21.71216418
2003,8,10,0,0,0,20.07300871
2003,8,11,0,0,0,19.46247524
2003,8,12,0,0,0,18.68271079
2003,8,13,0,0,0,19.05516047
2003,8,14,0,0,0,19.83150576
2003,8,15,0,0,0,18.74838912
2003,8,16,0,0,0,18.76242956
2003,8,17,0,0,0,20.45186252
2003,8,18,0,0,0,20.31766379
2003,8,19,0,0,0,21.042144
2003,8,20,0,0,0,20.88794789
2003,8,21,0,0,0,20.67706035
2003,8,22,0,0,0,19.66978819
2003,8,23,0,0,0,18.07904218
2003,8,24,0,0,0,18.49996139
2003,8,25,0,0,0,18.58757117
2003,8,26,0,0,0,18.02118103
2003,8,27,0,0,0,17.76043303
2003,8,28,0,0,0,17.79520647
2003,8,29,0,0,0,17.82368893
2003,8,30,0,0,0,18.23507517
2003,8,31,0,0,0,18.31771871
2003,9,1,0,0,0,18.10421799
2003,9,2,0,0,0,18.66756307
2003,9,3,0,0,0,18.76743322
2003,9,4,0,0,0,19.44791769
2003,9,5,0,0,0,18.43506977
2003,9,6,0,0,0,18.30721303
2003,9,7,0,0,0,17.7239974
2003,9,8,0,0,0,18.00435507
2003,9,9,0,0,0,17.38821527
2003,9,10,0,0,0,17.17584929
2003,9,11,0,0,0,17.25520375
2003,9,12,0,0,0,17.07540827
2003,9,13,0,0,0,17.09268827
2003,9,14,0,0,0,17.6966817
2003,9,15,0,0,0,17.84724583
2003,9,16,0,0,0,17.71630894
2003,9,17,0,0,0,17.81184149
2003,9,18,0,0,0,17.81684496
2003,9,19,0,0,0,18.0997028
2003,9,20,0,0,0,18.2275627
2003,9,21,0,0,0,18.16727078
2003,9,22,0,0,0,17.91284032
2003,9,23,0,0,0,17.94781619
2003,9,24,0,0,0,17.77540295
2003,9,25,0,0,0,18.06807822
2003,9,26,0,0,0,18.24882495
2003,9,27,0,0,0,17.51947528
2003,9,28,0,0,0,17.07899775
2003,9,29,0,0,0,17.77488335
2003,9,30,0,0,0,17.1307135
2003,10,1,0,0,0,17.53470153
2003,10,2,0,0,0,17.39997787
2003,10,3,0,0,0,17.81081688
2003,10,4,0,0,0,17.43843075
2003,10,5,0,0,0,17.11814248
2003,10,6,0,0,0,17.23728539
2003,10,7,0,0,0,17.53747711
2003,10,8,0,0,0,17.42669937
2003,10,9,0,0,0,17.0698412
2003,10,10,0,0,0,17.66677701
2003,10,11,0,0,0,17.6064928
2003,10,12,0,0,0,16.81565289
2003,10,13,0,0,0,15.5961615
2003,10,14,0,0,0,15.6665095
2003,10,15,0,0,0,16.20887926
2003,10,16,0,0,0,16.4768988
2003,10,17,0,0,0,16.43
2003,10,18,0,0,0,16.50566689
2003,10,19,0,0,0,15.23883033
2003,10,20,0,0,0,15.11
2003,10,21,0,0,0,0
2003,10,22,0,0,0,0
2003,10,23,0,0,0,0
2003,10,24,0,0,0,0
2003,10,25,0,0,0,0
2003,10,26,0,0,0,0
2003,10,27,0,0,0,0
2003,10,28,0,0,0,0
2003,10,29,0,0,0,0
2003,10,30,0,0,0,0
2003,10,31,0,0,0,0
2003,11,1,0,0,0,0
2003,11,2,0,0,0,0
2003,11,3,0,0,0,0
2003,11,4,0,0,0,0
2003,11,5,0,0,0,0
2003,11,6,0,0,0,0
2003,11,7,0,0,0,0
2003,11,8,0,0,0,0
2003,11,9,0,0,0,0
2003,11,10,0,0,0,0
2003,11,11,0,0,0,0
2003,11,12,0,0,0,0
2003,11,13,0,0,0,0
2003,11,14,0,0,0,15.86
2003,11,15,0,0,0,16.21108902
2003,11,16,0,0,0,15.97905721
2003,11,17,0,0,0,15.74247253
2003,11,18,0,0,0,15.41
2003,11,19,0,0,0,0
2003,11,20,0,0,0,0
2003,11,21,0,0,0,0
2003,11,22,0,0,0,15.72
2003,11,23,0,0,0,0
2003,11,24,0,0,0,15.38861133
2003,11,25,0,0,0,15.5405409
2003,11,26,0,0,0,15.58970949
2003,11,27,0,0,0,16.41875845
2003,11,28,0,0,0,17.22030447
2003,11,29,0,0,0,17.74610828
2003,11,30,0,0,0,17.03817805
2003,12,1,0,0,0,17.30777423
2003,12,2,0,0,0,17.653624
2003,12,3,0,0,0,17.6012142
2003,12,4,0,0,0,17.77927265
2003,12,5,0,0,0,17.07829767
2003,12,6,0,0,0,17.24023873
2003,12,7,0,0,0,16.99280093
2003,12,8,0,0,0,16.94384298
2003,12,9,0,0,0,16.96790189
2003,12,10,0,0,0,17.17375435
2003,12,11,0,0,0,16.54844503
2003,12,12,0,0,0,16.50010995
2003,12,13,0,0,0,16.63844974
2003,12,14,0,0,0,16.48576844
2003,12,15,0,0,0,16.50313818
2003,12,16,0,0,0,16.62338322
2003,12,17,0,0,0,16.89540883
2003,12,18,0,0,0,16.97946961
2003,12,19,0,0,0,17.01332606
2003,12,20,0,0,0,17.00414506
2003,12,21,0,0,0,16.19899964
2003,12,22,0,0,0,16.28111727
2003,12,23,0,0,0,16.34041198
2003,12,24,0,0,0,16.39376815
2003,12,25,0,0,0,16.39914271
2003,12,26,0,0,0,16.3993127
2003,12,27,0,0,0,16.32635316
2003,12,28,0,0,0,15.66397811
2003,12,29,0,0,0,15.85361124
2003,12,30,0,0,0,15.8926944
2003,12,31,0,0,0,15.65088458
